date,thck
2024-04-18,2.73999994
2024-04-19,14.0199997
2024-04-20,1.67999996
2024-04-21,8.37999981
2024-04-22,-9999
2024-04-23,-9999
2024-04-24,-9999
2024-04-25,1.35999997
2024-04-26,-9999
2024-04-27,10.6399998
2024-04-28,19.0699996
2024-04-29,15.0299997
2024-04-30,26.7299994
2024-05-01,24.0499995
2024-05-02,11.1099998
2024-05-03,5.53999988
2024-05-04,8.02999982
2024-05-05,4.73999989
2024-05-06,29.0699994
2024-05-07,4.72999989
2024-05-08,3.42999992
2024-05-09,-9999
2024-05-10,5.66999987
2024-05-11,-9999
2024-05-12,7.83999982
2024-05-13,23.9399995
2024-05-14,7.43999983
2024-05-15,3.47999992
2024-05-16,-9999
2024-05-17,-9999
2024-05-18,7.77999983
2024-05-19,1.34999997
2024-05-20,5.93999987
2024-05-21,4.4599999
2024-05-22,-9999
2024-05-23,1.88999996
2024-05-24,3.47999992
2024-05-25,12.0499997
2024-05-26,2.21999995
2024-05-27,7.65999983
2024-05-28,5.07999989
2024-05-29,23.6999995
2024-05-30,15.0299997
2024-05-31,-9999
2024-06-01,-9999
2024-06-02,-9999
2024-06-03,-9999
2024-06-04,-9999
2024-06-05,-9999
2024-06-06,10.6499998
2024-06-07,-9999
2024-06-08,1.51999997
2024-06-09,-9999
2024-06-10,4.5499999
2024-06-11,-9999
2024-06-12,1.53999997
2024-06-13,1.95999996
2024-06-14,-9999
2024-06-15,-9999
2024-06-16,-9999
2024-06-17,-9999
2024-06-18,-9999
2024-06-19,-9999
2024-06-20,4.92999989
2024-06-21,23.2699995
2024-06-22,12.0899997
2024-06-23,10.7799998
2024-06-24,2.64999994
2024-06-25,1.72999996
2024-06-26,-9999
2024-06-27,1.61999996
2024-06-28,1.55999997
2024-06-29,-9999
2024-06-30,7.40999983
2024-07-01,6.34999986
2024-07-02,1.67999996
2024-07-03,-9999
2024-07-04,-9999
2024-07-05,10.1099998
2024-07-06,14.3599997
2024-07-07,3.21999993
2024-07-08,9.36999979
2024-07-09,1.56999996
2024-07-10,-9999
2024-07-11,-9999
2024-07-12,-9999
2024-07-13,-9999
2024-07-14,6.01999987
2024-07-15,8.38999981
2024-07-16,2.14999995
2024-07-17,-9999
2024-07-18,1.66999996
2024-07-19,2.17999995
2024-07-20,9.19999979
2024-07-21,1.00999998
2024-07-22,4.3499999
2024-07-23,-9999
2024-07-24,3.28999993
2024-07-25,-9999
2024-07-26,3.72999992
2024-07-27,10.1099998
2024-07-28,4.01999991
2024-07-29,-9999
2024-07-30,-9999
2024-07-31,7.27999984
2024-08-01,3.63999992
2024-08-02,1.89999996
2024-08-03,2.65999994
2024-08-04,-9999
2024-08-05,2.50999994
2024-08-06,-9999
2024-08-07,-9999
2024-08-08,3.56999992
2024-08-09,11.0299998
2024-08-10,6.02999987
2024-08-11,-9999
2024-08-12,2.21999995
2024-08-13,0.939999979
2024-08-14,10.9299998
2024-08-15,5.73999987
2024-08-16,14.8499997
2024-08-17,-9999
2024-08-18,-9999
2024-08-19,1.05999998
2024-08-20,-9999
2024-08-21,-9999
2024-08-22,1.19999997
2024-08-23,17.4199996
2024-08-24,8.44999981
2024-08-25,3.81999991
2024-08-26,8.65999981
2024-08-27,4.24999991
2024-08-28,10.1499998
2024-08-29,2.68999994
