date,vpr
2024-06-07,0.363000017
2024-06-08,2.45800012
2024-06-09,1.13000005
2024-06-10,2.32500011
2024-06-11,2.84800014
2024-06-12,1.93400009
2024-06-13,2.83000013
2024-06-14,0.826000039
2024-06-15,1.99300009
2024-06-16,1.29100006
2024-06-17,-9999
2024-06-18,2.61100012
2024-06-19,-9999
2024-06-20,2.22800011
2024-06-21,1.25500006
2024-06-22,1.29000006
2024-06-23,2.1500001
2024-06-24,2.2000001
2024-06-25,1.93000009
2024-06-26,1.99700009
2024-06-27,2.91400014
2024-06-28,2.91200014
2024-06-29,-9999
2024-06-30,2.93600014
2024-07-01,2.0230001
2024-07-02,2.25200011
2024-07-03,2.0730001
2024-07-04,1.29100006
2024-07-05,3.45400016
2024-07-06,1.50000007
2024-07-07,3.04800014
2024-07-08,2.66600013
2024-07-09,2.77600013
2024-07-10,3.50500017
2024-07-11,-9999
2024-07-12,3.18200015
2024-07-13,2.1630001
2024-07-14,2.2070001
2024-07-15,3.21100015
2024-07-16,2.27100011
2024-07-17,3.27500016
2024-07-18,2.2040001
2024-07-19,3.17600015
2024-07-20,2.63600013
2024-07-21,2.0180001
2024-07-22,3.31600016
2024-07-23,1.90600009
2024-07-24,3.35100016
2024-07-25,2.0470001
2024-07-26,2.0230001
2024-07-27,2.95200014
2024-07-28,0.989000047
2024-07-29,3.33300016
2024-07-30,1.70100008
2024-07-31,2.1490001
2024-08-01,2.29900011
2024-08-02,1.91300009
2024-08-03,3.32900016
2024-08-04,1.49400007
2024-08-05,2.25100011
2024-08-06,1.65200008
2024-08-07,-9999
2024-08-08,2.58100012
2024-08-09,1.33200006
2024-08-10,1.75800008
2024-08-11,3.05000014
2024-08-12,2.98300014
2024-08-13,2.92200014
2024-08-14,2.1080001
2024-08-15,3.13000015
2024-08-16,2.0570001
2024-08-17,2.81500013
2024-08-18,2.1430001
2024-08-19,1.73900008
2024-08-20,2.91000014
2024-08-21,1.64900008
2024-08-22,2.65200013
2024-08-23,1.18000006
2024-08-24,1.26000006
2024-08-25,3.84800018
2024-08-26,1.59800008
2024-08-27,1.45100007
2024-08-28,1.15500005
2024-08-29,1.78300008
2024-08-30,2.49400012
2024-08-31,1.71200008
2024-09-01,1.87300009
2024-09-02,1.65100008
2024-09-03,2.0140001
2024-09-04,1.61600008
2024-09-05,1.75600008
2024-09-06,2.51400012
2024-09-07,2.22100011
2024-09-08,1.86700009
2024-09-09,1.51600007
2024-09-10,2.67700013
2024-09-11,-9999
2024-09-12,2.1670001
2024-09-13,2.68100013
2024-09-14,0.855000041
2024-09-15,2.0430001
2024-09-16,1.12500005
2024-09-17,0.765000036
2024-09-18,1.16700006
2024-09-19,1.34500006
2024-09-20,2.0310001
2024-09-21,1.95000009
2024-09-22,1.59800008
2024-09-23,1.04300005
2024-09-24,1.60400008
2024-09-25,2.37200011
2024-09-26,-9999
2024-09-27,-9999
2024-09-28,2.66600013
2024-09-29,1.39100007
2024-09-30,1.49000007
2024-10-01,1.08500005
2024-10-02,1.16600006
2024-10-03,-9999
2024-10-04,-9999
2024-10-05,2.2070001
2024-10-06,2.68400013
2024-10-07,1.66800008
2024-10-08,-9999
2024-10-09,1.74700008
2024-10-10,-9999
2024-10-11,-9999
2024-10-12,2.0500001
2024-10-13,-9999
2024-10-14,2.61300012
2024-10-15,-9999
2024-10-16,1.74900008
2024-10-17,1.80300009
2024-10-18,0.859000041
2024-10-19,-9999
2024-10-20,-9999
2024-10-21,-9999
2024-10-22,-9999
2024-10-23,-9999
2024-10-24,-9999
2024-10-25,-9999
2024-10-26,-9999
2024-10-27,-9999
2024-10-28,-9999
2024-10-29,1.49400007
2024-10-30,1.47200007
2024-10-31,0.810000038
2024-11-01,1.56500007
2024-11-02,0.785000037
2024-11-03,0.928000044
2024-11-04,1.49200007
2024-11-05,1.15100005
2024-11-06,0.958000046
2024-11-07,0.609000029
2024-11-08,1.04700005
2024-11-09,0.743000035
2024-11-10,0.781000037
2024-11-11,0.753000036
2024-11-12,1.13700005
2024-11-13,1.77800008
2024-11-14,1.07500005
2024-11-15,1.14200005
2024-11-16,0.920000044
2024-11-17,0.689000033
2024-11-18,0.731000035
2024-11-19,0.813000039
2024-11-20,0.900000043
2024-11-21,1.02200005
2024-11-22,1.24200006
2024-11-23,2.1090001
2024-11-24,0.478000023
2024-11-25,0.465000022
2024-11-26,0.62600003
2024-11-27,0.709000034
2024-11-28,0.494000023
2024-11-29,0.773000037
2024-11-30,0.84700004
2024-12-01,0.41200002
2024-12-02,0.651000031
2024-12-03,1.42400007
2024-12-04,0.21400001
2024-12-05,1.17400006
2024-12-06,0.571000027
2024-12-07,0.0740000035
2024-12-08,0.63200003
2024-12-09,0.482000023
2024-12-10,0.157000007
2024-12-11,0.166000008
2024-12-12,0.449000021
2024-12-13,0.570000027
2024-12-14,0.389000018
2024-12-15,0.451000021
2024-12-16,0.262000012
2024-12-17,1.09400005
2024-12-18,-9999
2024-12-19,0.699000033
2024-12-20,1.04200005
2024-12-21,0.898000043
2024-12-22,0.471000022
2024-12-23,0.826000039
2024-12-24,0.809000038
2024-12-25,0.913000043
2024-12-26,0.603000029
2024-12-27,0.41400002
2024-12-28,0.190000009
2024-12-29,0.196000009
2024-12-30,0.21900001
2024-12-31,0.903000043
2025-01-01,-9999
2025-01-02,0.407000019
2025-01-03,0.693000033
2025-01-04,0.183000009
2025-01-05,0.283000013
2025-01-06,1.29900006
2025-01-07,1.49100007
2025-01-08,0.650000031
2025-01-09,0.466000022
2025-01-10,0.890000042
2025-01-11,0.83900004
2025-01-12,1.30200006
2025-01-13,1.15400005
2025-01-14,0.769000037
2025-01-15,0.614000029
2025-01-16,0.401000019
2025-01-17,0.822000039
2025-01-18,0.382000018
2025-01-19,0.925000044
2025-01-20,1.13200005
2025-01-21,0.896000043
2025-01-22,0.175000008
2025-01-23,0.758000036
2025-01-24,0.677000032
2025-01-25,0.818000039
2025-01-26,0.323000015
2025-01-27,0.516000025
2025-01-28,0.285000014
2025-01-29,0.83400004
2025-01-30,0.475000023
2025-01-31,0.585000028
2025-02-01,0.446000021
2025-02-02,0.290000014
2025-02-03,0.132000006
2025-02-04,0.673000032
2025-02-05,0.606000029
2025-02-06,0.371000018
2025-02-07,0.334000016
2025-02-08,0.550000026
2025-02-09,0.475000023
2025-02-10,0.479000023
2025-02-11,-9999
2025-02-12,0.390000019
2025-02-13,0.302000014
2025-02-14,0.277000013
2025-02-15,0.186000009
2025-02-16,0.455000022
2025-02-17,0.718000034
2025-02-18,0.791000038
2025-02-19,0.409000019
2025-02-20,0.42700002
2025-02-21,0.313000015
2025-02-22,0.368000017
2025-02-23,0.315000015
2025-02-24,0.278000013
2025-02-25,0.457000022
2025-02-26,0.701000033
2025-02-27,0.397000019
2025-02-28,0.938000045
2025-03-01,0.810000038
2025-03-02,0.743000035
2025-03-03,0.153000007
2025-03-04,0.502000024
2025-03-05,0.488000023
2025-03-06,0.921000044
2025-03-07,0.178000008
2025-03-08,0.567000027
2025-03-09,0.958000046
2025-03-10,1.51800007
2025-03-11,0.933000044
2025-03-12,1.09900005
2025-03-13,0.681000032
2025-03-14,1.40300007
2025-03-15,-9999
2025-03-16,0.818000039
2025-03-17,0.606000029
2025-03-18,1.27700006
2025-03-19,0.973000046
2025-03-20,0.290000014
