date,ctp-night
2024-02-23,247.500004
2024-02-24,894.000013
2024-02-25,873.900013
2024-02-26,635.700009
2024-02-27,778.800012
2024-02-28,640.20001
2024-02-29,853.600013
2024-03-01,735.800011
2024-03-02,802.800012
2024-03-03,778.100012
2024-03-04,882.100013
2024-03-05,699.30001
2024-03-06,834.600012
2024-03-07,759.900011
2024-03-08,727.400011
2024-03-09,865.200013
2024-03-10,901.700013
2024-03-11,655.20001
2024-03-12,716.700011
2024-03-13,897.700013
2024-03-14,844.500013
2024-03-15,861.300013
2024-03-16,-9999
2024-03-17,596.300009
2024-03-18,457.300007
2024-03-19,776.400012
2024-03-20,825.800012
2024-03-21,798.900012
2024-03-22,804.600012
2024-03-23,-9999
2024-03-24,784.200012
2024-03-25,812.900012
2024-03-26,268.000004
2024-03-27,754.400011
2024-03-28,258.300004
2024-03-29,766.800011
2024-03-30,795.500012
2024-03-31,961.000014
2024-04-01,797.800012
2024-04-02,816.900012
2024-04-03,852.900013
2024-04-04,888.400013
2024-04-05,892.300013
2024-04-06,882.300013
2024-04-07,610.500009
2024-04-08,848.700013
2024-04-09,643.20001
2024-04-10,777.700012
2024-04-11,902.900013
2024-04-12,899.400013
2024-04-13,888.600013
2024-04-14,917.000014
2024-04-15,821.300012
2024-04-16,651.40001
2024-04-17,596.000009
2024-04-18,849.400013
2024-04-19,826.800012
2024-04-20,851.200013
2024-04-21,862.700013
2024-04-22,846.000013
2024-04-23,843.800013
2024-04-24,395.200006
2024-04-25,350.800005
2024-04-26,335.000005
2024-04-27,268.400004
2024-04-28,641.10001
2024-04-29,376.500006
2024-04-30,817.000012
2024-05-01,846.900013
2024-05-02,859.300013
2024-05-03,867.800013
2024-05-04,670.50001
2024-05-05,742.800011
2024-05-06,818.300012
2024-05-07,923.800014
2024-05-08,565.400008
2024-05-09,440.800007
2024-05-10,511.700008
2024-05-11,864.100013
2024-05-12,819.800012
2024-05-13,835.500012
2024-05-14,849.800013
2024-05-15,858.900013
2024-05-16,849.600013
2024-05-17,819.000012
2024-05-18,889.100013
2024-05-19,684.00001
2024-05-20,866.400013
2024-05-21,910.000014
2024-05-22,753.200011
2024-05-23,905.600013
2024-05-24,816.600012
2024-05-25,924.800014
2024-05-26,826.000012
2024-05-27,879.500013
2024-05-28,851.200013
2024-05-29,826.900012
2024-05-30,815.800012
2024-05-31,780.600012
2024-06-01,968.800014
2024-06-02,951.600014
2024-06-03,898.000013
2024-06-04,960.000014
2024-06-05,955.000014
2024-06-06,956.400014
2024-06-07,961.400014
2024-06-08,953.600014
2024-06-09,898.200013
2024-06-10,850.800013
2024-06-11,898.700013
2024-06-12,765.000011
2024-06-13,930.000014
2024-06-14,971.600014
2024-06-15,980.800015
2024-06-16,902.000013
2024-06-17,862.800013
2024-06-18,906.000014
2024-06-19,889.400013
2024-06-20,864.000013
2024-06-21,934.600014
2024-06-22,915.200014
2024-06-23,-9999
2024-06-24,937.000014
2024-06-25,954.400014
2024-06-26,978.000015
2024-06-27,963.500014
2024-06-28,924.800014
2024-06-29,949.300014
2024-06-30,972.500014
2024-07-01,944.100014
2024-07-02,957.500014
2024-07-03,956.900014
2024-07-04,944.700014
2024-07-05,857.900013
2024-07-06,936.800014
2024-07-07,960.000014
2024-07-08,958.100014
2024-07-09,958.200014
2024-07-10,970.100014
2024-07-11,728.000011
2024-07-12,960.000014
2024-07-13,928.300014
2024-07-14,933.000014
2024-07-15,950.300014
2024-07-16,974.200015
2024-07-17,960.000014
2024-07-18,985.000015
2024-07-19,953.600014
2024-07-20,970.200014
2024-07-21,972.000014
2024-07-22,966.900014
2024-07-23,954.500014
2024-07-24,956.400014
